n-gram,next_word,freq
"(116, 113, 3, 259)",650,1
"(113, 3, 259, 650)",20,1
"(3, 259, 650, 20)",2955,1
"(259, 650, 20, 2955)",1634,1
"(650, 20, 2955, 1634)",55,1
"(16, 11, 1162, 2956)",5,1
"(11, 1162, 2956, 5)",651,1
"(1162, 2956, 5, 651)",9,1
"(2956, 5, 651, 9)",19,1
"(5, 651, 9, 19)",2,1
"(651, 9, 19, 2)",15,1
"(9, 19, 2, 15)",278,1
"(19, 2, 15, 278)",149,1
"(2, 15, 278, 149)",714,1
"(15, 278, 149, 714)",1,1
"(278, 149, 714, 1)",1163,1
"(149, 714, 1, 1163)",2,1
"(714, 1, 1163, 2)",9,1
"(1, 421, 3, 297)",2,1
"(421, 3, 297, 2)",1,1
"(3, 297, 2, 1)",52,1
"(297, 2, 1, 52)",1000,1
"(2, 1, 52, 1000)",782,1
"(1, 52, 1000, 782)",4,1
"(52, 1000, 782, 4)",1,1
"(1000, 782, 4, 1)",226,1
"(782, 4, 1, 226)",4,1
"(4, 1, 226, 4)",2957,1
"(1, 226, 4, 2957)",3,1
"(226, 4, 2957, 3)",715,1
"(4, 2957, 3, 715)",1,1
"(2957, 3, 715, 1)",113,1
"(3, 715, 1, 113)",3,1
"(715, 1, 113, 3)",4,1
"(1, 113, 3, 4)",714,1
"(113, 3, 4, 714)",227,1
"(3, 4, 714, 227)",10,1
"(4, 714, 227, 10)",1,1
"(869, 1635, 1164, 111)",1636,1
"(1635, 1164, 111, 1636)",4,1
"(1164, 111, 1636, 4)",399,1
"(111, 1636, 4, 399)",1,1
"(1636, 4, 399, 1)",245,1
"(4, 399, 1, 245)",194,1
"(399, 1, 245, 194)",4,1
"(1, 245, 194, 4)",491,1
"(245, 194, 4, 491)",3,1
"(194, 4, 491, 3)",2959,1
"(4, 491, 3, 2959)",2960,1
"(491, 3, 2959, 2960)",400,1
"(3, 2959, 2960, 400)",583,1
"(2959, 2960, 400, 583)",4,1
"(2960, 400, 583, 4)",23,1
"(400, 583, 4, 23)",2094,1
"(583, 4, 23, 2094)",22,1
"(4, 23, 2094, 22)",40,1
"(23, 2094, 22, 40)",245,1
"(2094, 22, 40, 245)",3,1
"(22, 40, 245, 3)",245,1
"(40, 245, 3, 245)",4,1
"(245, 3, 245, 4)",1001,1
"(3, 245, 4, 1001)",40,1
"(1, 2961, 3, 327)",2,1
"(2961, 3, 327, 2)",1,1
"(3, 327, 2, 1)",84,1
"(327, 2, 1, 84)",867,1
"(2, 1, 84, 867)",2962,1
"(1, 84, 867, 2962)",1,1
"(84, 867, 2962, 1)",257,1
"(867, 2962, 1, 257)",1165,1
"(16, 11, 110, 1002)",4,1
"(11, 110, 1002, 4)",2963,1
"(110, 1002, 4, 2963)",20,1
"(1002, 4, 2963, 20)",1,1
"(4, 2963, 20, 1)",456,1
"(2963, 20, 1, 456)",116,1
"(20, 1, 456, 116)",1,1
"(1, 456, 116, 1)",783,1
"(456, 116, 1, 783)",867,1
"(116, 1, 783, 867)",3,1
"(1, 783, 867, 3)",4,1
"(783, 867, 3, 4)",652,1
"(867, 3, 4, 652)",90,1
"(3, 4, 652, 90)",61,1
"(4, 652, 90, 61)",12,1
"(652, 90, 61, 12)",5,1
"(90, 61, 12, 5)",159,1
"(61, 12, 5, 159)",27,1
"(12, 5, 159, 27)",2,1
"(5, 159, 27, 2)",228,1
"(159, 27, 2, 228)",867,1
"(27, 2, 228, 867)",18,1
"(2, 228, 867, 18)",1341,1
"(228, 867, 18, 1341)",60,1
"(867, 18, 1341, 60)",25,1
"(18, 1341, 60, 25)",1,1
"(1341, 60, 25, 1)",226,1
"(60, 25, 1, 226)",4,1
"(25, 1, 226, 4)",177,1
"(1, 226, 4, 177)",1,1
"(226, 4, 177, 1)",1342,1
"(4, 177, 1, 1342)",296,1
"(177, 1, 1342, 296)",4,1
"(1, 1342, 296, 4)",279,1
"(1342, 296, 4, 279)",2096,1
"(296, 4, 279, 2096)",3,1
"(4, 279, 2096, 3)",874,1
"(3, 66, 11, 236)",378,1
"(66, 11, 236, 378)",10,1
"(11, 236, 378, 10)",75,1
"(236, 378, 10, 75)",9,1
"(378, 10, 75, 9)",13,1
"(10, 75, 9, 13)",43,1
"(75, 9, 13, 43)",167,1
"(9, 13, 43, 167)",195,1
"(13, 43, 167, 195)",5,1
"(43, 167, 195, 5)",1,1
"(167, 195, 5, 1)",68,1
"(195, 5, 1, 68)",26,1
"(5, 1, 68, 26)",1163,1
"(1, 68, 26, 1163)",1,1
"(68, 26, 1163, 1)",296,1
"(14, 996, 27, 295)",51,1
"(996, 27, 295, 51)",874,1
"(27, 295, 51, 874)",10,1
"(295, 51, 874, 10)",653,1
"(51, 874, 10, 653)",1,1
"(874, 10, 653, 1)",355,1
"(10, 653, 1, 355)",4,1
"(653, 1, 355, 4)",108,1
"(1, 355, 4, 108)",10,1
"(355, 4, 108, 10)",42,1
"(4, 108, 10, 42)",218,1
"(108, 10, 42, 218)",4,1
"(10, 42, 218, 4)",244,1
"(42, 218, 4, 244)",113,1
"(218, 4, 244, 113)",3,1
"(4, 244, 113, 3)",259,1
"(244, 113, 3, 259)",60,1
"(113, 3, 259, 60)",18,1
"(14, 7, 108, 155)",20,1
"(7, 108, 155, 20)",47,1
"(108, 155, 20, 47)",86,1
"(155, 20, 47, 86)",784,1
"(20, 47, 86, 784)",716,1
"(47, 86, 784, 716)",875,1
"(86, 784, 716, 875)",5,1
"(784, 716, 875, 5)",422,1
"(716, 875, 5, 422)",10,1
"(875, 5, 422, 10)",65,1
"(5, 422, 10, 65)",25,1
"(422, 10, 65, 25)",1,1
"(10, 65, 25, 1)",110,1
"(65, 25, 1, 110)",402,1
"(25, 1, 110, 402)",1343,1
"(1, 110, 402, 1343)",4,1
"(110, 402, 1343, 4)",24,1
"(402, 1343, 4, 24)",2097,1
"(1343, 4, 24, 2097)",492,1
"(4, 24, 2097, 492)",7,1
"(24, 2097, 492, 7)",269,1
"(2097, 492, 7, 269)",298,1
"(492, 7, 269, 298)",1,1
"(7, 269, 298, 1)",355,1
"(269, 298, 1, 355)",7,1
"(298, 1, 355, 7)",12,1
"(1, 355, 7, 12)",125,1
"(355, 7, 12, 125)",4,1
"(7, 12, 125, 4)",285,1
"(12, 125, 4, 285)",113,1
"(7, 56, 2098, 25)",40,1
"(56, 2098, 25, 40)",717,1
"(2098, 25, 40, 717)",3,1
"(25, 40, 717, 3)",1344,1
"(40, 717, 3, 1344)",3,1
"(717, 3, 1344, 3)",25,1
"(3, 1344, 3, 25)",40,1
"(1344, 3, 25, 40)",1345,1
"(3, 25, 40, 1345)",4,1
"(25, 40, 1345, 4)",356,1
"(40, 1345, 4, 356)",3,1
"(1345, 4, 356, 3)",4,1
"(16, 654, 65, 1638)",90,1
"(654, 65, 1638, 90)",247,1
"(65, 1638, 90, 247)",996,1
"(1638, 90, 247, 996)",27,1
"(90, 247, 996, 27)",43,1
"(247, 996, 27, 43)",196,1
"(996, 27, 43, 196)",4,1
"(27, 43, 196, 4)",177,1
"(43, 196, 4, 177)",142,1
"(196, 4, 177, 142)",1166,1
"(4, 177, 142, 1166)",40,1
"(7, 56, 400, 2)",6,1
"(56, 400, 2, 6)",1639,1
"(400, 2, 6, 1639)",2,1
"(2, 6, 1639, 2)",173,1
"(6, 1639, 2, 173)",24,1
"(1639, 2, 173, 24)",457,1
"(2, 173, 24, 457)",29,1
"(173, 24, 457, 29)",48,1
"(24, 457, 29, 48)",1003,1
"(457, 29, 48, 1003)",25,1
"(29, 48, 1003, 25)",46,1
"(48, 1003, 25, 46)",2966,1
"(1003, 25, 46, 2966)",785,1
"(25, 46, 2966, 785)",1640,1
"(46, 2966, 785, 1640)",2100,1
"(2966, 785, 1640, 2100)",1,1
"(785, 1640, 2100, 1)",84,1
"(1640, 2100, 1, 84)",88,1
"(2100, 1, 84, 88)",2967,1
"(1, 84, 88, 2967)",43,1
"(84, 88, 2967, 43)",17,1
"(88, 2967, 43, 17)",213,1
"(2967, 43, 17, 213)",1,1
"(43, 17, 213, 1)",2101,1
"(876, 9, 133, 23)",1167,1
"(9, 133, 23, 1167)",6,1
"(133, 23, 1167, 6)",2102,1
"(23, 1167, 6, 2102)",313,1
"(1167, 6, 2102, 313)",1,1
"(6, 2102, 313, 1)",996,1
"(2102, 313, 1, 996)",296,1
"(313, 1, 996, 296)",18,1
"(1, 996, 296, 18)",168,1
"(996, 296, 18, 168)",4,1
"(296, 18, 168, 4)",208,1
"(18, 168, 4, 208)",6,1
"(168, 4, 208, 6)",166,1
"(4, 208, 6, 166)",2,1
"(208, 6, 166, 2)",1346,1
"(6, 166, 2, 1346)",14,1
"(166, 2, 1346, 14)",91,1
"(2, 1346, 14, 91)",14,1
"(1346, 14, 91, 14)",1,1
"(14, 91, 14, 1)",421,1
"(91, 14, 1, 421)",2,1
"(14, 1, 421, 2)",297,1
"(1, 421, 2, 297)",35,1
"(421, 2, 297, 35)",43,1
"(2, 297, 35, 43)",23,1
"(83, 1641, 3, 584)",18,1
"(1641, 3, 584, 18)",2103,1
"(3, 584, 18, 2103)",1005,1
"(584, 18, 2103, 1005)",51,1
"(18, 2103, 1005, 51)",219,1
"(2103, 1005, 51, 219)",73,1
"(1005, 51, 219, 73)",1342,1
"(51, 219, 73, 1342)",27,1
"(219, 73, 1342, 27)",2968,1
"(73, 1342, 27, 2968)",55,1
"(1342, 27, 2968, 55)",996,1
"(27, 2968, 55, 996)",27,1
"(7, 75, 9, 8)",11,1
"(75, 9, 8, 11)",357,1
"(9, 8, 11, 357)",9,1
"(8, 11, 357, 9)",19,1
"(11, 357, 9, 19)",2,1
"(357, 9, 19, 2)",32,1
"(9, 19, 2, 32)",113,1
"(19, 2, 32, 113)",55,1
"(2, 32, 113, 55)",259,1
"(32, 113, 55, 259)",43,1
"(113, 55, 259, 43)",237,1
"(55, 259, 43, 237)",20,1
"(259, 43, 237, 20)",26,1
"(43, 237, 20, 26)",8,1
"(237, 20, 26, 8)",231,1
"(20, 26, 8, 231)",58,1
"(26, 8, 231, 58)",2,1
"(10, 1006, 67, 458)",1,1
"(1006, 67, 458, 1)",351,1
"(67, 458, 1, 351)",2,1
"(458, 1, 351, 2)",15,1
"(1, 351, 2, 15)",2969,1
"(351, 2, 15, 2969)",39,1
"(2, 15, 2969, 39)",16,1
"(15, 2969, 39, 16)",11,1
"(2969, 39, 16, 11)",64,1
"(39, 16, 11, 64)",6,3
"(16, 11, 64, 6)",403,1
"(11, 64, 6, 403)",242,1
"(64, 6, 403, 242)",4,1
"(6, 403, 242, 4)",244,1
"(403, 242, 4, 244)",1,1
"(242, 4, 244, 1)",243,1
"(4, 244, 1, 243)",60,1
"(244, 1, 243, 60)",5,1
"(1, 243, 60, 5)",6,1
"(243, 60, 5, 6)",165,1
"(60, 5, 6, 165)",718,1
"(5, 6, 165, 718)",2,1
"(6, 165, 718, 2)",128,1
"(165, 718, 2, 128)",490,1
"(718, 2, 128, 490)",3,1
"(6, 248, 25, 1)",76,13
"(248, 25, 1, 76)",26,8
"(25, 1, 76, 26)",1,7
"(1, 76, 26, 1)",1007,1
"(76, 26, 1, 1007)",1168,1
"(16, 11, 24, 359)",4,2
"(11, 24, 359, 4)",786,2
"(24, 359, 4, 786)",4,2
"(359, 4, 786, 4)",295,2
"(4, 786, 4, 295)",493,2
"(786, 4, 295, 493)",4,2
"(4, 295, 493, 4)",1,2
"(295, 493, 4, 1)",494,2
"(493, 4, 1, 494)",2,2
"(4, 1, 494, 2)",98,2
"(1, 494, 2, 98)",3,2
"(494, 2, 98, 3)",19,2
"(2, 98, 3, 19)",286,2
"(98, 3, 19, 286)",14,2
"(3, 19, 286, 14)",13,2
"(19, 286, 14, 13)",1169,2
"(286, 14, 13, 1169)",1,2
"(14, 13, 1169, 1)",299,2
"(13, 1169, 1, 299)",62,2
"(5, 360, 1642, 1)",76,1
"(360, 1642, 1, 76)",1008,1
"(1642, 1, 76, 1008)",193,1
"(1, 76, 1008, 193)",2104,1
"(76, 1008, 193, 2104)",70,1
"(1008, 193, 2104, 70)",4,1
"(16, 877, 6, 1170)",5,1
"(877, 6, 1170, 5)",585,1
"(6, 1170, 5, 585)",720,1
"(1170, 5, 585, 720)",5,1
"(5, 585, 720, 5)",35,1
"(585, 720, 5, 35)",6,1
"(720, 5, 35, 6)",1643,1
"(5, 35, 6, 1643)",2,1
"(35, 6, 1643, 2)",1,1
"(6, 1643, 2, 1)",423,1
"(1643, 2, 1, 423)",328,1
"(2, 1, 423, 328)",2970,1
"(1, 423, 328, 2970)",4,1
"(423, 328, 2970, 4)",721,1
"(328, 2970, 4, 721)",1,1
"(2970, 4, 721, 1)",76,1
"(4, 721, 1, 76)",14,1
"(721, 1, 76, 14)",722,1
"(1, 76, 14, 722)",2,1
"(1, 76, 878, 20)",1,2
"(76, 878, 20, 1)",1170,1
"(878, 20, 1, 1170)",5,1
"(20, 1, 1170, 5)",1,1
"(1, 1170, 5, 1)",62,1
"(1170, 5, 1, 62)",248,1
"(5, 1, 62, 248)",2,1
"(1, 62, 248, 2)",193,1
"(62, 248, 2, 193)",655,1
"(248, 2, 193, 655)",169,1
"(2, 193, 655, 169)",20,1
"(193, 655, 169, 20)",1347,1
"(655, 169, 20, 1347)",360,1
"(169, 20, 1347, 360)",26,1
"(20, 1347, 360, 26)",1007,1
"(1347, 360, 26, 1007)",1168,1
"(232, 197, 130, 1009)",130,1
"(197, 130, 1009, 130)",2971,1
"(130, 1009, 130, 2971)",174,1
"(1009, 130, 2971, 174)",3,1
"(7, 56, 280, 4)",23,5
"(56, 280, 4, 23)",155,3
"(280, 4, 23, 155)",5,2
"(4, 23, 155, 5)",98,2
"(23, 155, 5, 98)",199,1
"(155, 5, 98, 199)",1010,1
"(7, 43, 287, 2)",102,2
"(43, 287, 2, 102)",195,2
"(287, 2, 102, 195)",99,1
"(2, 102, 195, 99)",4,1
"(102, 195, 99, 4)",1171,1
"(195, 99, 4, 1171)",8,1
"(99, 4, 1171, 8)",103,1
"(4, 1171, 8, 103)",459,1
"(1171, 8, 103, 459)",70,1
"(8, 103, 459, 70)",8,1
"(103, 459, 70, 8)",879,1
"(459, 70, 8, 879)",73,1
"(70, 8, 879, 73)",26,1
"(8, 879, 73, 26)",1,1
"(879, 73, 26, 1)",1007,1
"(73, 26, 1, 1007)",1168,1
"(26, 1, 1007, 1168)",358,1
"(1, 1007, 1168, 358)",787,1
"(1007, 1168, 358, 787)",3,1
"(1168, 358, 787, 3)",2105,1
"(358, 787, 3, 2105)",424,1
"(787, 3, 2105, 424)",14,1
"(3, 2105, 424, 14)",6,1
"(2105, 424, 14, 6)",586,1
"(424, 14, 6, 586)",2,1
"(14, 6, 586, 2)",1172,1
"(6, 586, 2, 1172)",288,1
"(586, 2, 1172, 288)",4,1
"(2, 1172, 288, 4)",196,1
"(1172, 288, 4, 196)",53,1
"(288, 4, 196, 53)",229,1
"(4, 196, 53, 229)",5,1
"(196, 53, 229, 5)",1,1
"(53, 229, 5, 1)",41,1
"(229, 5, 1, 41)",14,1
"(5, 1, 41, 14)",83,1
"(1, 41, 14, 83)",6,1
"(41, 14, 83, 6)",2106,1
"(14, 83, 6, 2106)",723,1
"(83, 6, 2106, 723)",3,1
"(6, 2106, 723, 3)",1644,1
"(7, 56, 315, 4)",38,1
"(56, 315, 4, 38)",2,1
"(315, 4, 38, 2)",17,1
"(4, 38, 2, 17)",29,1
"(38, 2, 17, 29)",12,2
"(2, 17, 29, 12)",194,1
"(17, 29, 12, 194)",54,1
"(29, 12, 194, 54)",50,1
"(12, 194, 54, 50)",10,1
"(194, 54, 50, 10)",8,1
"(72, 81, 3, 7)",12,14
"(81, 3, 7, 12)",59,1
"(3, 7, 12, 59)",1,1
"(7, 12, 59, 1)",36,1
"(12, 59, 1, 36)",460,1
"(59, 1, 36, 460)",880,1
"(1, 36, 460, 880)",1,1
"(36, 460, 880, 1)",329,1
"(460, 880, 1, 329)",3,1
"(880, 1, 329, 3)",587,1
"(1, 329, 3, 587)",724,1
"(329, 3, 587, 724)",4,1
"(3, 587, 724, 4)",32,1
"(587, 724, 4, 32)",25,1
"(724, 4, 32, 25)",286,1
"(4, 32, 25, 286)",5,1
"(32, 25, 286, 5)",100,1
"(25, 286, 5, 100)",2107,1
"(286, 5, 100, 2107)",2,1
"(5, 100, 2107, 2)",1,1
"(21, 135, 50, 28)",37,1
"(135, 50, 28, 37)",102,1
"(8, 44, 33, 150)",32,1
"(44, 33, 150, 32)",4,1
"(33, 150, 32, 4)",42,1
"(150, 32, 4, 42)",204,1
"(32, 4, 42, 204)",79,1
"(4, 42, 204, 79)",788,1
"(42, 204, 79, 788)",2109,1
"(204, 79, 788, 2109)",3,1
"(79, 788, 2109, 3)",1348,1
"(788, 2109, 3, 1348)",98,1
"(2109, 3, 1348, 98)",60,1
"(3, 1348, 98, 60)",22,1
"(1348, 98, 60, 22)",270,1
"(98, 60, 22, 270)",4,1
"(60, 22, 270, 4)",2110,1
"(22, 270, 4, 2110)",5,1
"(270, 4, 2110, 5)",1,1
"(4, 2110, 5, 1)",725,1
"(2110, 5, 1, 725)",14,1
"(5, 1, 725, 14)",91,1
"(1, 725, 14, 91)",14,1
"(725, 14, 91, 14)",2972,1
"(14, 91, 14, 2972)",2973,1
"(91, 14, 2972, 2973)",5,1
"(14, 2972, 2973, 5)",1,1
"(2972, 2973, 5, 1)",316,1
"(289, 44, 72, 81)",3,1
"(44, 72, 81, 3)",7,1
"(72, 81, 3, 7)",18,11
"(81, 3, 7, 18)",78,1
"(3, 7, 18, 78)",249,1
"(7, 18, 78, 249)",160,1
"(18, 78, 249, 160)",4,1
"(78, 249, 160, 4)",882,1
"(249, 160, 4, 882)",2111,1
"(160, 4, 882, 2111)",3,1
"(4, 882, 2111, 3)",204,1
"(882, 2111, 3, 204)",98,1
"(2111, 3, 204, 98)",26,1
"(3, 204, 98, 26)",1,1
"(204, 98, 26, 1)",58,1
"(98, 26, 1, 58)",2,1
"(26, 1, 58, 2)",1,1
"(1, 58, 2, 1)",34,1
"(58, 2, 1, 34)",425,1
"(2, 1, 34, 425)",2,2
"(1, 34, 425, 2)",151,9
"(34, 425, 2, 151)",260,10
"(425, 2, 151, 260)",4,1
"(2, 151, 260, 4)",23,1
"(151, 260, 4, 23)",426,1
"(260, 4, 23, 426)",5,1
"(13, 18, 2974, 1)",2112,1
"(18, 2974, 1, 2112)",5,1
"(2974, 1, 2112, 5)",1,1
"(1, 2112, 5, 1)",2975,1
"(2112, 5, 1, 2975)",588,1
"(5, 1, 2975, 588)",39,1
"(1, 2975, 588, 39)",7,1
"(2975, 588, 39, 7)",56,1
"(588, 39, 7, 56)",534,1
"(39, 7, 56, 534)",9,1
"(7, 56, 534, 9)",15,1
"(56, 534, 9, 15)",655,1
"(534, 9, 15, 655)",8,1
"(9, 15, 655, 8)",44,1
"(15, 655, 8, 44)",1645,1
"(655, 8, 44, 1645)",6,1
"(8, 44, 1645, 6)",535,1
"(44, 1645, 6, 535)",2,1
"(1645, 6, 535, 2)",589,1
"(6, 535, 2, 589)",3,1
"(535, 2, 589, 3)",657,1
"(13, 18, 281, 249)",160,1
"(18, 281, 249, 160)",4,1
"(281, 249, 160, 4)",260,1
"(249, 160, 4, 260)",27,1
"(160, 4, 260, 27)",30,1
"(4, 260, 27, 30)",47,1
"(260, 27, 30, 47)",51,1
"(27, 30, 47, 51)",2113,1
"(30, 47, 51, 2113)",2976,1
"(47, 51, 2113, 2976)",29,1
"(51, 2113, 2976, 29)",10,1
"(2113, 2976, 29, 10)",243,1
"(2976, 29, 10, 243)",12,1
"(29, 10, 243, 12)",37,1
"(10, 243, 12, 37)",83,1
"(243, 12, 37, 83)",6,1
"(12, 37, 83, 6)",2977,1
"(37, 83, 6, 2977)",3,1
"(83, 6, 2977, 3)",361,1
"(6, 2977, 3, 361)",106,1
"(2977, 3, 361, 106)",2,1
"(3, 361, 106, 2)",1,1
"(361, 106, 2, 1)",423,1
